SMILES,logK
C(CO)[NH2+]CCO.CC(C(=O)[O-])O,0.0342
C(CO)[NH2+]CCO.CC(C(=O)[O-])O,0.0484
C(CO)[NH2+]CCO.CC(C(=O)[O-])O,0.0601
C(CO)[NH2+]CCO.CC(C(=O)[O-])O,0.0738
C(CO)[NH2+]CCO.CC(C(=O)[O-])O,0.0035
C(CO)[NH2+]CCO.CC(C(=O)[O-])O,0.0071
C(CO)[NH2+]CCO.CC(C(=O)[O-])O,0.015
C(CO)[NH2+]CCO.CC(C(=O)[O-])O,0.0211
C(CO)[NH2+]CCO.CC(C(=O)[O-])O,0.0238
C(CO)[NH2+]CCO.CC(C(=O)[O-])O,0.0284
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.201
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.201
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.201
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.201
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.251
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.251
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.251
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.251
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.251
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.3
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.3
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.3
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.3
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.3
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.351
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.351
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.351
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.351
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.351
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.402
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.402
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.402
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.402
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.402
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.45
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.45
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.45
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.45
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.45
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.5
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.5
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.5
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.5
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.55
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.55
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.55
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.55
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.55
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.599
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.599
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.162
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.251
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.275
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.326
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.357
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.383
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.406
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.42
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.455
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.201
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.201
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.201
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.201
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.251
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.251
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.251
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.251
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.251
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.3
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.3
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.3
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.3
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.3
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.351
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.351
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.351
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.351
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.351
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.402
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.402
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.402
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.402
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.402
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.45
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.45
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.45
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.45
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.45
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.5
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.5
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.5
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.5
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.55
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.55
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.55
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.55
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.55
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.599
CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.599
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.003
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0058
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0065
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0133
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0127
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0027
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0054
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0059
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0122
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0026
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0051
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0056
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.011
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0024
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0049
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0054
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0098
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0024
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0047
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0051
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0097
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0006
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0017
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0089
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0197
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0506
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0831
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.115
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.144
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.171
